city,county,state,country,population,lat,long,url,date,type,value
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/22/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/22/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/22/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/22/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/23/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/23/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/23/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/23/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/23/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/24/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/24/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/24/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/24/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/24/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/25/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/25/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/25/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/25/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/25/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/26/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/26/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/26/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/26/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/26/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/27/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/27/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/27/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/27/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/27/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/28/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/28/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/28/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/28/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/28/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/29/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/29/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/29/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/29/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/29/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/30/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/30/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/30/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/30/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/30/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/31/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/31/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/31/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/31/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,1/31/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/1/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/1/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/1/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/1/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/1/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/2/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/2/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/2/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/2/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/2/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/3/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/3/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/3/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/3/2020,active,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/3/2020,growthFactor,NA
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/4/2020,cases,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/4/2020,deaths,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/4/2020,recovered,0
,,WI,USA,5822434,44.89991864,-89.56690986,https://www.dhs.wisconsin.gov/outbreaks/index.htm,2/4/2020,active,0
